id,Name,processed_text,cluster_k10,cluster_k25,cluster_k50
252,"Спіральна обв'язка E.Next e.spiral.stand.6.black, 4-50 мм, 10м, чорна  s2038011",спіральна обв язка e next e spiral stand 6 black 4 50 мм 10м чорна s2038011,3,6,16
253,"ШВВП провід вітчизняний 2*1,5",шввп провід вітчизняний 2 1 5,1,2,3
254,Лампа LED E27 Lezard 220V A60 11W/4200 442-A60-2711,лампа led e27 lezard 220v a60 11w 4200 442 a60 2711,9,21,39
255,Корпус щита пластиковий Білмакс IP20 без кришки 3-4 модулі,корпус щита пластиковий білмакс ip20 без кришки 3 4 модулі,1,2,3
256,"Пластикова рамка E.Next  e.f.es.rxj.01, для намотування кабелю s042201",пластикова рамка e next e f es rxj 01 для намотування кабелю s042201,3,4,11
257,"Клема з’єднувальна з пастою Wago 273-503 для 3 проводів 1,5-4 кв.мм сіра (для монолітних проводів)",клема з єднувальна з пастою wago 273 503 для 3 проводів 1 5 4 кв мм сіра для монолітних проводів,2,3,6
258,"Шина ""N"" DIN в корпусі E.Next p0650004 4* 7 груп e.cbs.pro.4.7",шина n din в корпусі e next p0650004 4 7 груп e cbs pro 4 7,3,6,16
259,"Вимикач автоматичний 3-полюсний УЕК 4,5кА ВА47-29 C 16А MVA20-3-016-C-U",вимикач автоматичний 3 полюсний уек 4 5ка ва47 29 c 16а mva20 3 016 c u,1,1,2
260,Коробка для 1(3)-фазного лічильника NIK IP54 DOT.3-1 (випуклий),коробка для 1 3 фазного лічильника nik ip54 dot 3 1 випуклий,4,9,21
261,Коробка для 1(3)-фазного лічильника NIK IP54 DOT.3-1 (випуклий),коробка для 1 3 фазного лічильника nik ip54 dot 3 1 випуклий,4,9,21
262,Коробка для 1(3)-фазного лічильника NIK IP54 DOT.3-1 (випуклий),коробка для 1 3 фазного лічильника nik ip54 dot 3 1 випуклий,4,9,21
263,Лампа галогенова 12V Feron G4 10W JC 442,лампа галогенова 12v feron g4 10w jc 442,10,22,42
264,Кабельний ввід латунний E.Next e.met.pg.stand.7 s051007,кабельний ввід латунний e next e met pg stand 7 s051007,1,2,5
265,Роз’єм модульний до реле ly4 10А E.Next e.control.p104s i.ptf.14a,роз єм модульний до реле ly4 10а e next e control p104s i ptf 14a,8,20,38
266,"Реле проміжне E.Next e.control.p1046L з Led індикацією 10А, 4 групи контактів, котушка 230В АC i.ly4n.230ac",реле проміжне e next e control p1046l з led індикацією 10а 4 групи контактів котушка 230в аc i ly4n 230ac,8,20,38
267,Корпус пластиковий зовнішній IP65 УЕК ЩМПп 300*200*130 УХЛ1 MKP93-N-302013-65-U,корпус пластиковий зовнішній ip65 уек щмпп 300 200 130 ухл1 mkp93 n 302013 65 u,1,2,3
268,Лічильник 3 фазний 5-120А електронний активної енергії NIK-2301 AP3.0000.0.11 (АП3),лічильник 3 фазний 5 120а електронний активної енергії nik 2301 ap3 0000 0 11 ап3,1,2,5
269,Контакт для кнопок Аско ZB2-BE101 NO A0140010025,контакт для кнопок аско zb2 be101 no a0140010025,5,11,23
270,"Шина з'єднувальна E.Next e.bc.stand.3.12.63, 3п., 63 А, 12 модулів  s017008",шина з єднувальна e next e bc stand 3 12 63 3п 63 а 12 модулів s017008,3,6,16
271,Патрон підвісний керамічний E.Next Е27 s9100014,патрон підвісний керамічний e next е27 s9100014,1,2,5
272,Контактор 230V Hager безшумний ESC463S 63A 4нв,контактор 230v hager безшумний esc463s 63a 4нв,10,25,48
273,Лампа комактна люмінісцентна 2G7 11W/840 DULUX S/Е Osram 4050300020181,лампа комактна люмінісцентна 2g7 11w 840 dulux s е osram 4050300020181,10,22,42
274,Роз’єм модульний до РЭК78/3 УЕК РРМ78/3 RRP20D-RRM-3,роз єм модульний до рэк78 3 уек ррм78 3 rrp20d rrm 3,3,4,11
275,Реле проміжне 230V AC 3А УЕК РЕК78/4 RRP20-4-03-220A,реле проміжне 230v ac 3а уек рек78 4 rrp20 4 03 220a,10,25,48
276,"Диференційне реле 2-полюсне Hager CF263J A-63/0,3А",диференційне реле 2 полюсне hager cf263j a 63 0 3а,3,4,9
277,"Клема з’єднувальна з нажимним важелем Wago 221-415 для 5 гнучких проводів 0,14-4 кв.мм прозора",клема з єднувальна з нажимним важелем wago 221 415 для 5 гнучких проводів 0 14 4 кв мм прозора,2,3,6
278,Наконечник УЕК мідний луджений 10/ 6 JG-10 UNP40-010-06-06,наконечник уек мідний луджений 10 6 jg 10 unp40 010 06 06,1,2,3
279,Наконечник УЕК мідний луджений 16/ 8 JG-16 UNP40-016-06-08,наконечник уек мідний луджений 16 8 jg 16 unp40 016 06 08,1,2,3
280,Наконечник УЕК мідний луджений 25/ 8 JG-25 UNP40-025-07-08,наконечник уек мідний луджений 25 8 jg 25 unp40 025 07 08,1,2,3
281,"ВВГнгд кабель вітчизняний 2* 1,5",ввгнгд кабель вітчизняний 2 1 5,1,2,3
282,"Лампа LED 230V MR16 Lezard GU5,3 5,0W/4200 442-MR16-05",лампа led 230v mr16 lezard gu5 3 5 0w 4200 442 mr16 05,9,21,39
283,"Клема з’єднувальна з нажимним важелем Wago 221-412 для 2 гнучких проводів 0,14-4 кв.мм прозора",клема з єднувальна з нажимним важелем wago 221 412 для 2 гнучких проводів 0 14 4 кв мм прозора,2,3,6
284,"Клема з’єднувальна з важелем Wago 221-413 для 3 гнучких проводів 0,14-4 кв.мм прозора",клема з єднувальна з важелем wago 221 413 для 3 гнучких проводів 0 14 4 кв мм прозора,2,3,6
285,Наконечник УЕК мідний луджений 35/ 8 JG-35 UNP40-035-08-08,наконечник уек мідний луджений 35 8 jg 35 unp40 035 08 08,1,2,3
286,Гільза мідна луджена 10,гільза мідна луджена 10,2,3,8
287,Гільза мідна луджена 25,гільза мідна луджена 25,2,3,8
288,Гільза мідна луджена 6,гільза мідна луджена 6,2,3,8
289,Диференційний автомат 1-модульний 1-полюсний+N RESI9 Schneider 6kA AC R9D87616 16A/30mА,диференційний автомат 1 модульний 1 полюсний n resi9 schneider 6ka ac r9d87616 16a 30mа,1,2,3
290,"Вимикач автоматичний 2-полюсний УЕК 4,5кА ВА 47- 29 C 63А MVA20-2-063-C",вимикач автоматичний 2 полюсний уек 4 5ка ва 47 29 c 63а mva20 2 063 c,1,1,2
291,"Вимикач автоматичний 1-полюсний УЕК 4,5кА ВА47-29 C 63А MVA20-1-063-C-U",вимикач автоматичний 1 полюсний уек 4 5ка ва47 29 c 63а mva20 1 063 c u,1,1,2
292,Реле імпульсне 230V DIN Hager EPN515 (1 нормально відкритий контакт + 1 нормально закритий контакт) 3500W,реле імпульсне 230v din hager epn515 1 нормально відкритий контакт 1 нормально закритий контакт 3500w,10,25,48
293,Контактор 230V Hager ESC227 25A 1нв+1нз,контактор 230v hager esc227 25a 1нв 1нз,10,25,48
294,Клемник ввідно-розгалуджувальний 1 полюсний (35кв.мм) Hager K64 до щитів Univers 100А на полюс,клемник ввідно розгалуджувальний 1 полюсний 35кв мм hager k64 до щитів univers 100а на полюс,1,2,3
295,Контактор 230V Hager ESC226 25A 2нз,контактор 230v hager esc226 25a 2нз,10,25,48
296,Детектор скритої проводки E.Next e.tool.multitest.03 p0470022,детектор скритої проводки e next e tool multitest 03 p0470022,7,16,34
297,Розетка 380V каучукова настінна IP44 Lezard 3P+N 32А 332-0100-0202 чорна,розетка 380v каучукова настінна ip44 lezard 3p n 32а 332 0100 0202 чорна,10,25,50
298,"OLFLEX HEAT 180 SiF провід силіконовий термостійкий 0,5",olflex heat 180 sif провід силіконовий термостійкий 0 5,1,2,5
299,Лампа свіча Іскра Е14 40W B36 прозора,лампа свіча іскра е14 40w b36 прозора,10,22,41
300,Роз’єм модульний до реле ly4 10А E.Next e.control.p104s i.ptf.14a,роз єм модульний до реле ly4 10а e next e control p104s i ptf 14a,8,20,38
301,Роз’єм модульний до реле ly4 10А E.Next e.control.p104s i.ptf.14a,роз єм модульний до реле ly4 10а e next e control p104s i ptf 14a,8,20,38
302,Роз’єм модульний до реле ly4 10А E.Next e.control.p104s i.ptf.14a,роз єм модульний до реле ly4 10а e next e control p104s i ptf 14a,8,20,38
303,Лампа комактна люмінісцентна 2G7 11W/840 DULUX S/Е Osram 4050300020181,лампа комактна люмінісцентна 2g7 11w 840 dulux s е osram 4050300020181,10,22,42
304,Вилка 2п Legrand 16А 50183 біла,вилка 2п legrand 16а 50183 біла,2,3,6
305,"Вимикач автоматичний 1-полюсний E.Next 4,5кА s002012 40A e.mcb.stand.45.1.C40",вимикач автоматичний 1 полюсний e next 4 5ка s002012 40a e mcb stand 45 1 c40,1,1,2
306,Контактор 230V Hager ESC227 25A 1нв+1нз,контактор 230v hager esc227 25a 1нв 1нз,10,25,48
307,Корпус пластиковий зовнішній з кришкою прозора IP31 УЕК КМПн 2/ 9-2 MKP42-N-09-31-02,корпус пластиковий зовнішній з кришкою прозора ip31 уек кмпн 2 9 2 mkp42 n 09 31 02,1,2,3
308,Вимикач автоматичний 1-полюсний Hager 6kA MC110A C 10A,вимикач автоматичний 1 полюсний hager 6ka mc110a c 10a,1,1,2
309,Корпус пластиковий зовнішній без кришки IP20 УЕК КМПн 1/2 MKP31-N-02-30-252,корпус пластиковий зовнішній без кришки ip20 уек кмпн 1 2 mkp31 n 02 30 252,1,2,3
310,"Затискач проколюючий вітчизняний ЗПАм (магiстраль 10-95 / вiдгалудження 1,5-10)",затискач проколюючий вітчизняний зпам магiстраль 10 95 вiдгалудження 1 5 10,1,2,3
311,Патрон пластиковий підвісний E.Next e.lamp socket pendant.E27.pl.white Е27 з кабелем 15см та клемною колодкою білий,патрон пластиковий підвісний e next e lamp socket pendant e27 pl white е27 з кабелем 15см та клемною колодкою білий,7,15,33
312,Адаптер Legrand 50385 американський стандарт,адаптер legrand 50385 американський стандарт,3,8,18
313,Імпульсно-запалювальний пристрій E.Next e.ignitor.3.wire.70.400 (ИЗУ)  l0410001,імпульсно запалювальний пристрій e next e ignitor 3 wire 70 400 изу l0410001,1,2,5
314,Світильник вбудований круглий LED D100 855lm Lezard 100-CCEL-4209 9W/4200K білий,світильник вбудований круглий led d100 855lm lezard 100 ccel 4209 9w 4200k білий,1,1,1
315,Світильник вбудований круглий LED D100 855lm Lezard 100-CCEL-4209 9W/4200K білий,світильник вбудований круглий led d100 855lm lezard 100 ccel 4209 9w 4200k білий,1,1,1
316,Лампа свіча Іскра Е14 230В 60W В36 прозора,лампа свіча іскра е14 230в 60w в36 прозора,10,22,41
317,Лампа розжарювання 75W E27 230V A55 Iskra прозора в манжеті,лампа розжарювання 75w e27 230v a55 iskra прозора в манжеті,10,24,47
318,Лампа розжарювання 75W E27 230V A55 Iskra прозора в манжеті,лампа розжарювання 75w e27 230v a55 iskra прозора в манжеті,10,24,47
319,Корпус щита пластиковий зовнішній IP65 ETI ECH 4G 1101060 прозора вертикальна дверка,корпус щита пластиковий зовнішній ip65 eti ech 4g 1101060 прозора вертикальна дверка,4,9,21
320,Контактор 230V Hager ESC227 25A 1нв+1нз,контактор 230v hager esc227 25a 1нв 1нз,10,25,48
321,Колодка із заземлюючим контактом та вимикачем Lezard Letitia 4 гнізда 721-0400-402,колодка із заземлюючим контактом та вимикачем lezard letitia 4 гнізда 721 0400 402,3,8,20
322,Патрон люстровий з гайкою E.Next e.lamp socket with nut.E27.pl.white Е27 s9100016 білий,патрон люстровий з гайкою e next e lamp socket with nut e27 pl white е27 s9100016 білий,7,15,33
323,Конектор 8р8с 5 категорії RJ45,конектор 8р8с 5 категорії rj45,3,4,11
324,Накладка резинова для конектора 8р8с RJ45,накладка резинова для конектора 8р8с rj45,3,4,11
325,"Датчик руху інфрачервоний стельовий, що вбудовується E.Next e.sensor.pir.42.white(білий), 360°, IP20  s061011",датчик руху інфрачервоний стельовий що вбудовується e next e sensor pir 42 white білий 360 ip20 s061011,8,18,36
326,Роз’єм модульний до реле ly4 10А E.Next e.control.p104s i.ptf.14a,роз єм модульний до реле ly4 10а e next e control p104s i ptf 14a,8,20,38
327,Реле проміжне 230V AC 10А E.Next e.control.p1046 i.ly4.230ac,реле проміжне 230v ac 10а e next e control p1046 i ly4 230ac,10,23,45
328,"Реле тимчасового ввімкнення (0,3-30 сек) при подачі напруги E.Next e.control.t16 i0310028",реле тимчасового ввімкнення 0 3 30 сек при подачі напруги e next e control t16 i0310028,8,20,38
329,Контактор 230V Hager ESC225 25A 2нв,контактор 230v hager esc225 25a 2нв,10,25,48
330,Перемикач I-0-II 230V 2-полюсний Hager SFT225 25А вихід зверху,перемикач i 0 ii 230v 2 полюсний hager sft225 25а вихід зверху,10,25,48
331,Перемикач I-0-II 230V 2-полюсний Hager SFT240 40А вихід зверху,перемикач i 0 ii 230v 2 полюсний hager sft240 40а вихід зверху,10,25,48
332,"Термостат з датчиком підлоги+повітря Terneo pro білий 16А+5,+60",термостат з датчиком підлоги повітря terneo pro білий 16а 5 60,2,3,8
333,Індикатор модульний LED Hager SVN123 жовтий,індикатор модульний led hager svn123 жовтий,1,1,1
334,"Патрон керамічний Е27 без кріплення, мідний контакт (Без маркування) E.Next s9100117p",патрон керамічний е27 без кріплення мідний контакт без маркування e next s9100117p,1,2,5
335,Клемна колодка в корпусі Аско ТВ 2503 A0130050007,клемна колодка в корпусі аско тв 2503 a0130050007,3,7,17
336,Коробка розподільна IP44 УЕК 85*85*40 КМ41235 UKO11-085-085-040-K41-44,коробка розподільна ip44 уек 85 85 40 км41235 uko11 085 085 040 k41 44,4,9,21
337,"ВВГнг кабель вітчизняний 2* 2,5",ввгнг кабель вітчизняний 2 2 5,1,2,3
338,Вимикач 2-клавішний ETI IP54/IP44 VHE-2 білий 4668001,вимикач 2 клавішний eti ip54 ip44 vhe 2 білий 4668001,1,2,3
339,"Диференційне реле 2-полюсне Hager CF263J A-63/0,3А",диференційне реле 2 полюсне hager cf263j a 63 0 3а,3,4,9
340,Вимикач автоматичний 3-полюсний Hager 6kA MC320A C 20A,вимикач автоматичний 3 полюсний hager 6ka mc320a c 20a,1,1,2
341,Перемикач I-0-II 230V 1-полюсний Hager SFT132 32А вихід зверху,перемикач i 0 ii 230v 1 полюсний hager sft132 32а вихід зверху,10,25,48
342,Контактор 230V Hager ESC225 25A 2нв,контактор 230v hager esc225 25a 2нв,10,25,48
343,Перемикач DIN I-0-II 2-полюсний E.Next e.is3.pro.2.40 40А p008024,перемикач din i 0 ii 2 полюсний e next e is3 pro 2 40 40а p008024,1,2,5
344,Лампа розжарювання 75W E27 230V A55 Iskra прозора в манжеті,лампа розжарювання 75w e27 230v a55 iskra прозора в манжеті,10,24,47
345,ПРА електронне Feron 1*30W EB51S T8 30W 515,пра електронне feron 1 30w eb51s t8 30w 515,10,22,43
346,Вимикач автоматичний 2-полюсний Hager 6kA MB232A B 32A,вимикач автоматичний 2 полюсний hager 6ka mb232a b 32a,1,1,2
347,Таймер електронний E.Next e.control.t08m i0310034,таймер електронний e next e control t08m i0310034,8,20,38
348,Перемикач I-0-II 230V 2-полюсний Hager SFT232 32А вихід зверху,перемикач i 0 ii 230v 2 полюсний hager sft232 32а вихід зверху,10,25,48
349,Корпус щита пластиковий зовнішній IP65 ETI ECH 4G 1101060 прозора вертикальна дверка,корпус щита пластиковий зовнішній ip65 eti ech 4g 1101060 прозора вертикальна дверка,4,9,21
350,Коробка установочна MB001 D65×45 для суцільних стін Plank PLK5001500,коробка установочна mb001 d65 45 для суцільних стін plank plk5001500,5,12,28
351,"Вимикач автоматичний 1-полюсний УЕК 4,5кА ВА47-29 C 25А MVA20-1-025-C-U",вимикач автоматичний 1 полюсний уек 4 5ка ва47 29 c 25а mva20 1 025 c u,1,1,2
352,"Вимикач автоматичний 1-полюсний УЕК 4,5кА ВА47-29 C 32А MVA20-1-032-C-U",вимикач автоматичний 1 полюсний уек 4 5ка ва47 29 c 32а mva20 1 032 c u,1,1,2
353,Розетка із заземлюючим контактом із захистом Sedna SDN3000121 біла,розетка із заземлюючим контактом із захистом sedna sdn3000121 біла,8,17,35
354,Рамка 5-а Sedna SDN5800921 біла,рамка 5 а sedna sdn5800921 біла,2,3,6
355,Лічильник 1 фазний багатотарифний 5- 60А електронний A (активної енергії) NIK 2104 AP2T.1000.C.11,лічильник 1 фазний багатотарифний 5 60а електронний a активної енергії nik 2104 ap2t 1000 c 11,1,2,5
356,"Корпус E.Next e.mbox.stand.w.f1.16.z металевий, під 1-ф. лічильник, 16 мод., що вбудовується, з замком s0100008",корпус e next e mbox stand w f1 16 z металевий під 1 ф лічильник 16 мод що вбудовується з замком s0100008,1,2,4
357,Бокс зовнішній Білмакс IP31 БМ- 40С 250*400*140,бокс зовнішній білмакс ip31 бм 40с 250 400 140,2,3,6
358,Кріплення для труб 20мм/пакунок 100шт,кріплення для труб 20мм пакунок 100шт,3,5,12
359,"Корпус E.Next e.mbox.stand.n.f1.0.z металевий, під 1-ф. лічильник, порожня, навісний, з замком s0100001",корпус e next e mbox stand n f1 0 z металевий під 1 ф лічильник порожня навісний з замком s0100001,1,2,4
360,Вилка із заземлюючим контактом з вимикачем та підсвіткою Legrand 16А 50409 біла,вилка із заземлюючим контактом з вимикачем та підсвіткою legrand 16а 50409 біла,2,3,8
361,Патрон підвісний керамічний E.Next Е27 s9100014,патрон підвісний керамічний e next е27 s9100014,1,2,5
362,Обмежувач УЕК на DIN-рейку YXD10,обмежувач уек на din рейку yxd10,3,4,11
363,"Шина ""N"" DIN-iзольована E.Next p0650012 e.bsi.pro.2.8 (8 відгалужень)",шина n din iзольована e next p0650012 e bsi pro 2 8 8 відгалужень,3,6,16
364,"Шина ""PEN"" кріплення - край УЕК 6*9мм 8/2 YNN11-08-100",шина pen кріплення край уек 6 9мм 8 2 ynn11 08 100,2,3,6
365,Заглушка УЕК 12 модулів біла YZM10-12-K01,заглушка уек 12 модулів біла yzm10 12 k01,2,3,6
366,Кабельний ввід E.Next e.pg.protect.stand.9 з опліткою діаметр провідника 4-8 мм s051002,кабельний ввід e next e pg protect stand 9 з опліткою діаметр провідника 4 8 мм s051002,1,2,4
367,Реле часу електронне двоканальне E.Next e.control.t09  i0310012,реле часу електронне двоканальне e next e control t09 i0310012,8,20,38
368,Вилка із заземлюючим контактом з вимикачем та підсвіткою Legrand 16А 50409 біла,вилка із заземлюючим контактом з вимикачем та підсвіткою legrand 16а 50409 біла,2,3,8
369,Вилка із заземлюючим контактом Legrand 50196 чорна,вилка із заземлюючим контактом legrand 50196 чорна,3,7,17
370,Розетка із заземлюючим контактом з кришкою ETI IP54 RHE-1s 4668015 біла,розетка із заземлюючим контактом з кришкою eti ip54 rhe 1s 4668015 біла,4,9,21
371,Світильник E.Next e.light.1303.1.60.27.black 60W  l002005,світильник e next e light 1303 1 60 27 black 60w l002005,1,1,1
372,"Лампа LED E27 Lezard 220V A60 9,0W/4200 442-A60-2709",лампа led e27 lezard 220v a60 9 0w 4200 442 a60 2709,9,21,39
373,Вимикач 2-клавішний ETI IP54/IP44 VHE-2 білий 4668001,вимикач 2 клавішний eti ip54 ip44 vhe 2 білий 4668001,1,2,3
374,Викрутка-пробник електронна УЕК ОП-2е TPR20,викрутка пробник електронна уек оп 2е tpr20,3,5,12
375,Роз’єм модульний до реле my3 5А E.Next e.control.p53s i.pif.11a,роз єм модульний до реле my3 5а e next e control p53s i pif 11a,8,19,37
376,Лампа розжарювання 75W E27 230V A55 Iskra прозора в манжеті,лампа розжарювання 75w e27 230v a55 iskra прозора в манжеті,10,24,47
377,"Перехідник E.Next e.lamp adapter.Е14/GU10.white, з патрону Е14 на GU10, пластиковий s9100040",перехідник e next e lamp adapter е14 gu10 white з патрону е14 на gu10 пластиковий s9100040,7,15,33
378,Контактор DIN 230V ETI AC/DC 3 модульний RD 63-22 2нв+2нз 2464030,контактор din 230v eti ac dc 3 модульний rd 63 22 2нв 2нз 2464030,10,25,48
379,"Трубка термоусаджувальна 4,0/2,0",трубка термоусаджувальна 4 0 2 0,3,6,15
380,"Трубка термоусаджувальна 12,0/6,0",трубка термоусаджувальна 12 0 6 0,3,6,15
381,"Трубка термоусаджувальна 3,0/1,5",трубка термоусаджувальна 3 0 1 5,3,6,15
382,"Трубка термоусаджувальна 2,0/1,0",трубка термоусаджувальна 2 0 1 0,3,6,15
383,"Трубка термоусаджувальна Radpol RC 8,0/2,0",трубка термоусаджувальна radpol rc 8 0 2 0,3,6,15
384,Лампа свіча Іскра Е14 230В 60W В36 прозора,лампа свіча іскра е14 230в 60w в36 прозора,10,22,41
385,Лампа свіча Іскра Е14 40W B36 прозора,лампа свіча іскра е14 40w b36 прозора,10,22,41
386,"Наклейка трикутна 100*100*100мм УЕК ""Блискавка"" YPC30-MOLNI-4-096",наклейка трикутна 100 100 100мм уек блискавка ypc30 molni 4 096,5,11,24
387,Вилка кабельна 400V IP44 Sez 5 полюсів 32А IVN3253,вилка кабельна 400v ip44 sez 5 полюсів 32а ivn3253,10,25,50
388,Розетка кабельна 400V IP44 Sez 5 полюсів 32А ISN3253,розетка кабельна 400v ip44 sez 5 полюсів 32а isn3253,10,25,50
389,"Трубка термоусаджувальна 4,0/2,0",трубка термоусаджувальна 4 0 2 0,3,6,15
390,"Трубка термоусаджувальна Radpol RC 4,8/2,4",трубка термоусаджувальна radpol rc 4 8 2 4,3,6,15
391,"Трубка термоусаджувальна 3,0/1,5",трубка термоусаджувальна 3 0 1 5,3,6,15
392,"Трубка термоусаджувальна Radpol RC 8,0/2,0",трубка термоусаджувальна radpol rc 8 0 2 0,3,6,15
393,Площадка для хомутів Аско СТН-2A A0150090053,площадка для хомутів аско стн 2a a0150090053,3,7,17
394,Перемикач I-0-II 230V 1-полюсний Hager SFT132 32А вихід зверху,перемикач i 0 ii 230v 1 полюсний hager sft132 32а вихід зверху,10,25,48
395,Розетка 2*RJ45 категорії 5e неекранована UTP Sedna SDN4400121 біла,розетка 2 rj45 категорії 5e неекранована utp sedna sdn4400121 біла,8,17,35
396,Перемикач I-0-II 230V 1-полюсний Hager SFT125 25А вихід зверху,перемикач i 0 ii 230v 1 полюсний hager sft125 25а вихід зверху,10,25,48
397,Роз’єм модульний до реле my4 3А E.Next e.control.p34s i.pif.14a,роз єм модульний до реле my4 3а e next e control p34s i pif 14a,8,20,38
398,"Реле проміжне E.Next e.control.p346 3А, 4 групи контактів, котушка 230В АC  i.my4.230ac",реле проміжне e next e control p346 3а 4 групи контактів котушка 230в аc i my4 230ac,8,20,38
399,ПВС кабель вітчизняний 2* 1,пвс кабель вітчизняний 2 1,1,2,3
400,Датчик руху мікрохвильовий ДД-МВ401 500Вт 360град 8м IP20 білий УЕК  LDD11-401MB-500-001,датчик руху мікрохвильовий дд мв401 500вт 360град 8м ip20 білий уек ldd11 401mb 500 001,1,2,3
401,Перехідник E.Next e.lamp adapter.GU10/Е14.white з патрону GU10 на Е14 пластиковий s9100043,перехідник e next e lamp adapter gu10 е14 white з патрону gu10 на е14 пластиковий s9100043,7,15,33
402,Блок N-клем Hager KN26N,блок n клем hager kn26n,3,5,12
403,Тримач клем QuickConnect Hager VZ708N до щитів Golf VF/VS 18/22 модулі,тримач клем quickconnect hager vz708n до щитів golf vf vs 18 22 модулі,6,13,30
404,Лампа галогенова 12V Feron G4 10W JC 442,лампа галогенова 12v feron g4 10w jc 442,10,22,42
405,Патрон до галогенових ламп G4,патрон до галогенових ламп g4,3,5,14
406,Корпус накладний прозорі дверки Cosmos IP40/II Hager VD212TD 2*12 модулів 294*326.5*92.5mm,корпус накладний прозорі дверки cosmos ip40 ii hager vd212td 2 12 модулів 294 326 5 92 5mm,5,12,29
407,"Лазерный проектор Диско Лазер стробоскоп для дома, кафе, бара",лазерный проектор диско лазер стробоскоп для дома кафе бара,3,5,12
408,Лічильник 3 фазний 5- 60А електронний активної енергії NIK-2301 AP2.0000.0.11 (АП2),лічильник 3 фазний 5 60а електронний активної енергії nik 2301 ap2 0000 0 11 ап2,1,2,5
409,Лічильник 1 фазний 5- 60А електронний активної енергії НІК 2102-02 1кл. 220В M2,лічильник 1 фазний 5 60а електронний активної енергії нік 2102 02 1кл 220в m2,1,2,5
410,Патрон до галогенових ламп G4,патрон до галогенових ламп g4,3,5,14
411,Лічильник 3 фазний б/тар. 5-120А електронний NIK-2303 AP3T.1000.M.11 (АП3Т),лічильник 3 фазний б тар 5 120а електронний nik 2303 ap3t 1000 m 11 ап3т,1,2,5
412,"Перехідник E.Next e.lamp adapter.Е27/Е14.white, з патрону Е27 на Е14, пластиковий s9100021",перехідник e next e lamp adapter е27 е14 white з патрону е27 на е14 пластиковий s9100021,7,15,33
413,Світильник LED IP20 2400lm 900mm Lezard 30W/6500K 465-FL90-030,світильник led ip20 2400lm 900mm lezard 30w 6500k 465 fl90 030,9,21,40
414,Вилка із заземлюючим контактом з вимикачем та підсвіткою Legrand 16А 50409 біла,вилка із заземлюючим контактом з вимикачем та підсвіткою legrand 16а 50409 біла,2,3,8
415,Патрон до галогенових ламп G4,патрон до галогенових ламп g4,3,5,14
416,Світильник вбудований круглий LED D168 2280lm Lezard 168-CCEL-4224 24W/4200K,світильник вбудований круглий led d168 2280lm lezard 168 ccel 4224 24w 4200k,1,1,1
417,Лампа розжарювання 75W E27 230V A55 Iskra прозора в манжеті,лампа розжарювання 75w e27 230v a55 iskra прозора в манжеті,10,24,47
418,Скоба монтажна металева СКаТ СММ-15 1210154,скоба монтажна металева скат смм 15 1210154,3,7,17
419,Перемикач поворотний I-0-II 400/690V 3-полюсний Hager HIM306 63А,перемикач поворотний i 0 ii 400 690v 3 полюсний hager him306 63а,10,25,50
420,"Пластикова рамка E.Next  e.f.es.rxj.01, для намотування кабелю s042201",пластикова рамка e next e f es rxj 01 для намотування кабелю s042201,3,4,11
421,"Лампа галогенова капсульна 12V Philips GY6,35 20W 13104 Caps.line(uv)",лампа галогенова капсульна 12v philips gy6 35 20w 13104 caps line uv,10,22,44
422,"Диференційне реле 4-полюсне Hager CD440J A-40/0,03А",диференційне реле 4 полюсне hager cd440j a 40 0 03а,3,4,9
423,Вимикач автоматичний 1-полюсний Hager 6kA MC104A C 4A,вимикач автоматичний 1 полюсний hager 6ka mc104a c 4a,1,1,2
424,Вимикач автоматичний 1-полюсний Hager 6kA MB106A B 6A,вимикач автоматичний 1 полюсний hager 6ka mb106a b 6a,1,1,2
425,"Диференційне реле 4-полюсне Hager CD440J A-40/0,03А",диференційне реле 4 полюсне hager cd440j a 40 0 03а,3,4,9
426,Шина Hager з’єднувальна вилочна 3-полюсна 57 модулів 10 мм.кв. FORK KDN363B,шина hager з єднувальна вилочна 3 полюсна 57 модулів 10 мм кв fork kdn363b,5,12,27
427,Вимикач автоматичний 1-полюсний Hager 6kA MC116A C 16A,вимикач автоматичний 1 полюсний hager 6ka mc116a c 16a,1,1,2
428,Вимикач автоматичний 1-полюсний Hager 6kA MC125A C 25A,вимикач автоматичний 1 полюсний hager 6ka mc125a c 25a,1,1,2
429,Розетка модульна 16А Hager SN016,розетка модульна 16а hager sn016,3,4,11
430,Вимикач автоматичний 3-полюсний Hager 6kA MC325A C 25A,вимикач автоматичний 3 полюсний hager 6ka mc325a c 25a,1,1,2
431,Реле напруги 1-ф DIN ZUBR D25 25A (Imax 30А - 10 хв.),реле напруги 1 ф din zubr d25 25a imax 30а 10 хв,3,5,12
432,Бокс для внутрішньої установки 18 модулів Lezard 730-1000-018,бокс для внутрішньої установки 18 модулів lezard 730 1000 018,3,8,20
433,"Диференційне реле 2-полюсне УЕК тип AC 4,5kA ВД 1-63 25/0,03А MDV10-2-025-030",диференційне реле 2 полюсне уек тип ac 4 5ka вд 1 63 25 0 03а mdv10 2 025 030,3,4,9
434,Блок розгалуджувальний DIN 80A E.Next p0680001 e.sn.pro.80,блок розгалуджувальний din 80a e next p0680001 e sn pro 80,1,2,5
